INC_CODE,CATEGORY,SUBCATEGORY,UCR_part_1,UCR_part_1_code
9025,fraud,fraud,,
9026,fraud,fraud,,
9027,fraud,fraud,,
9028,fraud,fraud,,
9029,fraud,fraud,,
9030,fraud,fraud,,
9031,stolen property,stolen property,,
9032,fraud,fraud,,
9033,fraud,fraud,,
9034,fraud,fraud,,
9035,fraud,bad checks,,
9040,fraud,fraud,,
9050,fraud,fraud,,
9060,fraud,fraud,,
9110,forgery and counterfeiting,forgery and counterfeiting,,
9120,forgery and counterfeiting,forgery and counterfeiting,,
9125,forgery and counterfeiting,forgery and counterfeiting,,
9130,forgery and counterfeiting,forgery and counterfeiting,,
9140,forgery and counterfeiting,forgery and counterfeiting,,
9150,forgery and counterfeiting,forgery and counterfeiting,,
9161,fraud,fraud,,
9162,fraud,fraud,,
9163,fraud,fraud,,
9164,fraud,fraud,,
9165,fraud,fraud,,
9166,fraud,fraud,,
9167,fraud,fraud,,
9168,fraud,fraud,,
9169,fraud,fraud,,
9171,,,,
9172,fraud,fraud,,
9173,fraud,fraud,,
9174,forgery and counterfeiting,forgery and counterfeiting,,
9175,forgery and counterfeiting,forgery and counterfeiting,,
9176,fraud,fraud,,
9210,forgery and counterfeiting,forgery and counterfeiting,,
9215,forgery and counterfeiting,forgery and counterfeiting,,
9220,forgery and counterfeiting,forgery and counterfeiting,,
9250,fraud,fraud,,
9261,forgery and counterfeiting,forgery and counterfeiting,,
9262,forgery and counterfeiting,forgery and counterfeiting,,
9263,fraud,fraud,,
9264,fraud,fraud,,
9265,fraud,fraud,,
9266,fraud,fraud,,
9267,fraud,fraud,,
9268,fraud,fraud,,
9269,fraud,fraud,,
9270,fraud,fraud,,
9271,fraud,fraud,,
9310,fraud,fraud,,
9320,fraud,fraud,,
9330,fraud,fraud,,
9340,fraud,fraud,,
10010,embezzlement,embezzlement,,
10015,embezzlement,embezzlement,,
10020,embezzlement,embezzlement,,
10025,embezzlement,embezzlement,,
10030,embezzlement,embezzlement,,
10035,embezzlement,embezzlement,,
10040,embezzlement,embezzlement,,
10045,embezzlement,embezzlement,,
10050,embezzlement,embezzlement,,
10055,embezzlement,embezzlement,,
10060,embezzlement,embezzlement,,
10065,embezzlement,embezzlement,,
10070,embezzlement,embezzlement,,
10075,embezzlement,embezzlement,,
10080,embezzlement,embezzlement,,
10085,embezzlement,embezzlement,,
10090,embezzlement,embezzlement,,
10110,fraud,fraud,,
10115,fraud,fraud,,
10117,fraud,fraud,,
10120,fraud,fraud,,
10125,fraud,fraud,,
10130,fraud,fraud,,
10140,fraud,fraud,,
10145,larceny theft,larceny theft - other,larceny theft,6
10149,forgery and counterfeiting,forgery and counterfeiting,,
11011,stolen property,stolen property,,
11012,stolen property,stolen property,,
11013,stolen property,stolen property,,
11014,stolen property,stolen property,,
11015,stolen property,stolen property,,
11016,stolen property,stolen property,,
11017,stolen property,stolen property,,
12006,weapons offense,weapons offense,,
12008,suspicious,suspicious package,,
12010,weapons offense,weapons offense,,
12015,weapons offense,weapons offense,,
12024,weapons offense,weapons offense,,
12025,weapons offense,weapons offense,,
12026,assault,aggravated assault,,
12027,weapons offense,weapons offense,,
12030,weapons offense,weapons offense,,
12040,weapons offense,weapons offense,,
12050,weapons offence,weapons offense,,
12055,weapons offense,weapons offense,,
12060,weapons offense,weapons offense,,
12065,weapons offense,weapons offense,,
12068,other miscellaneous,other,,
12070,weapons carrying etc,weapons offense,,
12080,weapons carrying etc,weapons offense,,
12090,weapons carrying etc,weapons offense,,
12100,weapons carrying etc,weapons offense,,
12110,weapons carrying etc,weapons offense,,
12120,weapons carrying etc,weapons offense,,
12130,weapons carrying etc,weapons offense,,
12140,weapons carrying etc,weapons offense,,
12150,weapons carrying etc,weapons offense,,
12160,weapons carrying etc,weapons offense,,
12161,weapons carrying etc,weapons offense,,
12162,weapons carrying etc,weapons offense,,
12163,weapons carrying etc,weapons offense,,
12164,weapons carrying etc,weapons offense,,
12165,weapons carrying etc,weapons offense,,
12166,weapons carrying etc,weapons offense,,
12167,weapons carrying etc,weapons offense,,
12168,weapons carrying etc,weapons offense,,
12169,weapons carrying etc,weapons offense,,
12171,weapons carrying etc,weapons offense,,
12172,weapons carrying etc,weapons offense,,
12173,weapons carrying etc,weapons offense,,
13010,prostitution,prostitution,,
13020,prostitution,prostitution,,
13030,"human trafficking, commercial sex acts","human trafficking, commercial sex acts",,
13045,"human trafficking (a), commercial sex acts","human trafficking, commercial sex acts",,
13050,"human trafficking, commercial sex acts","human trafficking, commercial sex acts",,
13060,prostitution,prostitution,,
13070,prostitution,prostitution,,
13071,"human trafficking (a), commercial sex acts","human trafficking (a), commercial sex act",,
13073,"human trafficking (a), commercial sex acts","human trafficking, commercial sex acts",,
13075,prostitution,prostitution,,
13080,"human trafficking (b), involuntary servitude","human trafficking, involuntary servitude",,
13110,prostitution,prostitution,,
13111,prostitution,prostitution,,
13115,disorderly conduct,disorderly conduct,,
13120,disorderly conduct,disorderly conduct,,
14010,sex offense,"sex offense, child",,
14015,sex offense,"sex offense, child",,
14016,"human trafficking (a), commercial sex acts","human trafficking (a), commercial sex acts",,
14017,sex offense,sex offense,,
14020,sex offense,sex offense,,
14030,sex offense,sex offense,,
14031,sex offense,sex offense,,
14040,sex offense,sex offense,,
14041,sex offense,prostitution,,
14042,sex offense,sex offense,,
14043,sex offense,sex offense,,
14044,sex offense,sex offense,,
14045,sex offense,sex offense,,
14050,rape,rape,rape,2
14052,rape,rape,rape,2
14060,sex offense,sex offense,,
14070,rape,rape,rape,2
14072,rape,rape,rape,2
15010,family offense,child abuse,,
15015,family offense,child abuse,,
15016,sex offense,child abuse,,
15017,sex offense,child abuse,,
15020,sex offense,child abuse,,
15021,offences against the family and children,kidnapping,,
15022,offences against the family and children,kidnapping,,
15030,offences against the family and children,other,,
15031,offences against the family and children,drug violation,,
15032,offences against the family and children,drug violation,,
15040,offences against the family and children,family offenses,,
15041,offences against the family and children,family offenses,,
15050,offences against the family and children,family offenses,,
15051,offences against the family and children,family offenses,,
15052,offences against the family and children,family offenses,,
15054,offences against the family and children,family offenses,,
15060,offences against the family and children,family offenses,,
15070,offences against the family and children,family offenses,,
15080,offences against the family and children,family offenses,,
15090,offences against the family and children,family offenses,,
15095,offences against the family and children,other,,
15097,offences against the family and children,other,,
15100,offences against the family and children,family offenses,,
15150,offences against the family and children,other,,
15151,offences against the family and children,other,,
15152,offences against the family and children,other,,
15153,offences against the family and children,other,,
15154,offences against the family and children,other,,
15155,offences against the family and children,other,,
15160,offences against the family and children,other,,
15161,offences against the family and children,other,,
15162,offences against the family and children,other,,
15163,offences against the family and children,other,,
15200,offences against the family and children,other,,
15201,offences against the family and children,stalking,,
15300,offences against the family and children,other,,
15301,offences against the family and children,intimidation,,
15302,offences against the family and children,intimidation,,
15303,offences against the family and children,intimidation,,
15400,offences against the family and children,other,,
15401,offences against the family and children,loitering,,
15500,offences against the family and children,other,,
16010,drug offense,drug violation,,
16020,drug offense,drug violation,,
16030,drug offense,drug violation,,
16040,drug offense,drug violation,,
16050,drug offense,drug violation,,
16060,drug offense,drug violation,,
16070,drug offense,drug violation,,
16100,drug offense,drug violation,,
16110,drug offense,drug violation,,
16120,drug offense,drug violation,,
16130,drug offense,drug violation,,
16140,drug offense,drug violation,,
16210,drug offense,drug violation,,
16220,drug offense,drug violation,,
16230,drug offense,drug violation,,
16240,drug offense,drug violation,,
16250,drug offense,drug violation,,
16310,drug offense,drug violation,,
16320,drug offense,drug violation,,
16330,drug offense,drug violation,,
16340,drug offense,drug violation,,
16350,drug offense,drug violation,,
16410,drug offense,drug violation,,
16420,drug offense,drug violation,,
16430,drug offense,drug violation,,
16440,drug offense,drug violation,,
16450,drug offense,drug violation,,
16510,drug offense,drug violation,,
16520,drug offense,drug violation,,
16530,drug offense,drug violation,,
16540,drug offense,drug violation,,
16550,drug offense,drug violation,,
16560,drug offense,drug violation,,
16610,drug offense,drug violation,,
16612,drug offense,drug violation,,
16614,drug offense,drug violation,,
16616,drug offense,drug violation,,
16618,drug offense,drug violation,,
16620,drug offense,drug violation,,
16621,drug offense,drug violation,,
16622,drug offense,drug violation,,
16623,drug offense,drug violation,,
16624,drug offense,drug violation,,
16625,drug offense,drug violation,,
16626,drug offense,drug violation,,
16628,drug offense,drug violation,,
16629,drug offense,drug violation,,
16630,drug offense,drug violation,,
16632,drug offense,drug violation,,
16634,drug offense,drug violation,,
16636,drug offense,drug violation,,
16638,drug offense,drug violation,,
16640,drug offense,drug violation,,
16642,drug offense,drug violation,,
16644,drug offense,drug violation,,
16645,drug offense,drug violation,,
16646,drug offense,drug violation,,
16648,drug offense,drug violation,,
16650,drug offense,drug violation,,
16652,drug offense,drug violation,,
16654,drug offense,drug violation,,
16656,drug offense,drug violation,,
16658,drug offense,drug violation,,
16660,drug offense,drug violation,,
16662,drug offense,drug violation,,
16664,drug offense,drug violation,,
16666,drug offense,drug violation,,
16668,drug offense,drug violation,,
16700,drug offense,drug violation,,
16704,drug offense,drug violation,,
16705,drug offense,drug violation,,
16710,drug offense,drug violation,,
16711,drug offense,drug violation,,
16712,drug offense,drug violation,,
16720,drug offense,drug violation,,
16730,drug offense,drug violation,,
16740,drug offense,drug violation,,
16750,drug offense,drug violation,,
16760,drug offense,drug violation,,
16780,drug violation,drug violation,,
17010,liquor laws,liquor law violation,,
17020,liquor laws,liquor law violation,,
17030,liquor laws,liquor law violation,,
17031,liquor laws,liquor law violation,,
17040,liquor laws,liquor law violation,,
17050,liquor laws,liquor law violation,,
17060,liquor laws,liquor law violation,,
17070,liquor laws,liquor law violation,,
17071,liquor laws,liquor law violation,,
17072,liquor laws,liquor law violation,,
17080,liquor laws,liquor law violation,,
17090,liquor laws,liquor law violation,,
17100,liquor laws,liquor law violation,,
17110,liquor laws,liquor law violation,,
17120,liquor laws,liquor law violation,,
17130,liquor laws,liquor law violation,,
19010,disorderly conduct,disorderly conduct,,
19015,disorderly conduct,disorderly conduct,,
19020,disorderly conduct,disorderly conduct,,
19022,disorderly conduct,disorderly conduct,,
19024,disorderly conduct,disorderly conduct,,
19025,disorderly conduct,disorderly conduct,,
19026,disorderly conduct,disorderly conduct,,
19028,disorderly conduct,disorderly conduct,,
19030,disorderly conduct,disorderly conduct,,
19031,disorderly conduct,disorderly conduct,,
19032,disorderly conduct,disorderly conduct,,
19040,disorderly conduct,disorderly conduct,,
19050,disorderly conduct,disorderly conduct,,
19051,disorderly conduct,disorderly conduct,,
19053,disorderly conduct,intimidation,,
19055,disorderly conduct,intimidation,,
19057,disorderly conduct,intimidation,,
19058,disorderly conduct,disorderly conduct,,
19060,disorderly conduct,loitering,,
19062,disorderly conduct,loitering,,
19065,disorderly conduct,loitering,,
19070,disorderly conduct,loitering,,
19071,disorderly conduct,loitering,,
19072,disorderly conduct,loitering,,
19075,disorderly conduct,loitering,,
19076,disorderly conduct,loitering,,
19077,disorderly conduct,loitering,,
19078,disorderly conduct,loitering,,
19080,disorderly conduct,intimidation,,
19081,disorderly conduct,disorderly conduct,,
19082,disorderly conduct,trespass,,
19083,disorderly conduct,weapons offense,,
19084,disorderly conduct,other,,
19086,disorderly conduct,other,,
19087,disorderly conduct,trespass,,
19088,disorderly conduct,loitering,,
19089,disorderly conduct,other,,
19090,disorderly conduct,drunkenness,,
19095,disorderly conduct,drug violation,,
19100,disorderly conduct,loitering,,
19400,disorderly conduct,other,,
26010,other miscellaneous,other,,
26020,other miscellaneous,other,,
26028,other miscellaneous,other,,
26029,arson,arson,arson,8
26030,arson,arson,arson,8
26031,arson,arson,arson,8
26032,arson,arson,arson,8
26033,arson,arson,arson,8
26034,arson,arson,arson,8
26035,arson,arson,arson,8
26036,arson,arson,arson,8
26037,arson,arson,arson,8
26038,arson,arson,arson,8
26039,arson,arson,arson,8
26040,other miscellaneous,extortion-blackmail,,
26050,other miscellaneous,bribery,,
26060,other miscellaneous,bribery,,
26061,other miscellaneous,bribery,,
26062,other miscellaneous,bribery,,
26063,other miscellaneous,other,,
26070,other miscellaneous,kidnapping,,
26080,other miscellaneous,other,,
26090,other miscellaneous,other,,
26095,other miscellaneous,other,,
26100,other miscellaneous,extortion-blackmail,,
26105,other miscellaneous,other,,
26110,other miscellaneous,other,,
26120,other miscellaneous,other,,
26130,other miscellaneous,extortion-blackmail,,
26135,other miscellaneous,intimidation,,
26140,other miscellaneous,kidnapping,,
26141,other miscellaneous,kidnapping,,
26142,other miscellaneous,kidnapping,,
26143,other miscellaneous,kidnapping,,
26144,other miscellaneous,kidnapping,,
26145,larceny theft,larceny theft - other,larceny theft,6
26146,"human trafficking, involuntary servitude","human trafficking, involuntary servitude",,
26147,other miscellaneous,kidnapping,,
26148,other miscellaneous,kidnapping,,
26149,other miscellaneous,kidnapping,,
26150,other miscellaneous,other,,
26160,other miscellaneous,other,,
26170,other miscellaneous,other,,
26175,other miscellaneous,other,,
26176,other miscellaneous,other,,
26177,other miscellaneous,other,,
26178,other miscellaneous,other,,
26180,other miscellaneous,other,,
26190,other miscellaneous,other,,
26200,other miscellaneous,other,,
26210,other miscellaneous,intimidation,,
26211,other miscellaneous,intimidation,,
26212,other miscellaneous,other,,
26213,other miscellaneous,other,,
26214,other miscellaneous,other,,
27010,other miscellaneous,fraud,,
27020,other miscellaneous,fraud,,
27030,other miscellaneous,other,,
27031,other miscellaneous,other,,
27040,other miscellaneous,other,,
27050,other miscellaneous,other,,
27060,other miscellaneous,other,,
27065,other miscellaneous,fraud,,
27066,other miscellaneous,other,,
27067,other miscellaneous,other,,
27068,other miscellaneous,other,,
27070,other miscellaneous,other,,
27071,other miscellaneous,other,,
27072,other miscellaneous,other,,
27080,other miscellaneous,other,,
27082,other miscellaneous,other,,
27090,larceny theft,larceny theft - other,larceny theft,6
27100,other miscellaneous,disorderly conduct,,
27110,other miscellaneous,disorderly conduct,,
27120,other miscellaneous,simple assault,,
27121,other miscellaneous,other,,
27122,other miscellaneous,weapons offense,,
27130,other miscellaneous,other,,
27131,other miscellaneous,other,,
27140,other miscellaneous,other,,
27145,other miscellaneous,other,,
27150,other miscellaneous,fraud,,
27155,other miscellaneous,fraud,,
27160,other miscellaneous,fraud,,
27165,other miscellaneous,other,,
27170,other miscellaneous,other,,
27171,other miscellaneous,intimidation,,
27172,other miscellaneous,intimidation,,
27173,other miscellaneous,other,,
27174,other miscellaneous,other,,
27175,other miscellaneous,other,,
27176,other miscellaneous,other,,
27177,other miscellaneous,other,,
27180,other miscellaneous,other,,
27185,other miscellaneous,other,,
27190,other miscellaneous,other,,
27195,other miscellaneous,trespass,,
27196,other miscellaneous,other,,
27197,other miscellaneous,trespass,,
27198,other miscellaneous,loitering,,
27199,other miscellaneous,loitering,,
27200,other miscellaneous,trespass,,
27201,other miscellaneous,larceny theft - other,larceny theft,6
27210,other miscellaneous,other,,
27220,other miscellaneous,other,,
27300,other miscellaneous,other,,
28010,malicious mischief,other,,
28020,malicious mischief,vandalism,,
28030,malicious mischief,vandalism,,
28040,malicious mischief,vandalism,,
28050,malicious mischief,vandalism,,
28060,malicious mischief,vandalism,,
28070,malicious mischief,vandalism,,
28080,malicious mischief,other,,
28091,malicious mischief,vandalism,,
28092,malicious mischief,vandalism,,
28100,malicious mischief,vandalism,,
28102,malicious mischief,vandalism,,
28103,malicious mischief,vandalism,,
28110,malicious mischief,vandalism,,
28120,malicious mischief,vandalism,,
28130,malicious mischief,vandalism,,
28135,malicious mischief,other,,
28136,malicious mischief,other,,
28140,malicious mischief,vandalism,,
28150,malicious mischief,vandalism,,
28160,malicious mischief,vandalism,,
28161,malicious mischief,vandalism,,
28164,malicious mischief,vandalism,,
28165,malicious mischief,vandalism,,
28166,malicious mischief,vandalism,,
28167,malicious mischief,vandalism,,
28168,malicious mischief,vandalism,,
28169,malicious mischief,vandalism,,
28170,malicious mischief,other,,
28180,malicious mischief,other,,
28181,malicious mischief,other,,
29010,malicious mischief,other,,
29020,malicious mischief,other,,
29030,juvenile offenses,other,,
29040,juvenile offenses,other,,
29050,juvenile offenses,runaway,,
29060,juvenile offenses,other,,
29070,juvenile offenses,other,,
29080,liquor laws,liquor law violation,,
29081,liquor laws,liquor law violation,,
29082,juvenile offenses,other,,
29083,juvenile offenses,other,,
29090,juvenile offenses,other,,
29100,juvenile offenses,runaway,,
29110,juvenile offenses,family offenses,,
29120,juvenile offenses,other,,
29130,juvenile offenses,family offenses,,
29170,juvenile offenses,family offenses,,
30000,other offenses,other,,
30001,other offenses,other,,
30003,other offenses,other,,
30004,other offenses,other,,
30005,other offenses,other,,
30006,other offenses,other,,
